Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0734,Sierra,Bajo,21,Masculino,ISFP,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0030,Lima,Medio-Alto,29,Femenino,ENFP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0578,Sierra,Medio,56,Masculino,ESTP,Voto Blanco / Nulo,False,False,False
PREDIK-PE-0331,Lima,Bajo,54,Femenino,ISTJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0153,Lima,Medio,44,Masculino,ENFJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0464,Costa,Medio-Alto,66,Masculino,ENTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0842,Selva,Medio,45,Masculino,ISTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0202,Lima,Medio,54,Femenino,ENTJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0240,Lima,Medio-Alto,21,Masculino,ESFJ,Candidato D (Centroderecha Tecnocrática),True,False,False
PREDIK-PE-0636,Sierra,Medio,37,Masculino,INFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0874,Selva,Bajo,23,Femenino,ISTP,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0589,Sierra,Medio,37,Femenino,ENTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0746,Sierra,Bajo,55,Masculino,ESFP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0556,Sierra,Bajo,20,No Binario,ESFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0171,Lima,Bajo,71,Masculino,ESTJ,Voto Blanco / Nulo,False,False,False
PREDIK-PE-0246,Lima,Bajo,60,Masculino,ISTJ,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0146,Lima,Bajo,45,Masculino,ESFP,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0351,Costa,Medio,36,Masculino,INFJ,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0729,Sierra,Medio,20,Masculino,ENTP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0321,Lima,Medio,27,Masculino,ENTJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0215,Lima,Medio,22,Masculino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0043,Lima,Medio,56,Femenino,ENFJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0998,Selva,Bajo,50,Masculino,INFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0247,Lima,Medio,64,Masculino,ISTP,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0055,Lima,Medio,57,Masculino,ISTP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0169,Lima,Medio-Alto,52,Masculino,INFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0981,Selva,Bajo,68,Femenino,INFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0579,Sierra,Medio,31,Masculino,ESFJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0006,Lima,Medio,62,Masculino,ENFJ,Candidato A (Populista / Anti-Sistema),True,True,False
