Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0287,Lima,Medio,68,No Binario,ISTP,Candidato D (Centroderecha Tecnocrática),False,True,False
PREDIK-PE-0620,Sierra,Medio,55,Masculino,INFJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0326,Lima,Medio,18,Masculino,INFP,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0825,Selva,Medio,69,Femenino,ENFP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0169,Lima,Medio-Alto,56,No Binario,INFJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0908,Selva,Bajo,62,Masculino,ESFJ,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0467,Costa,Bajo,30,Masculino,INTJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0446,Costa,Bajo,67,Masculino,ISFJ,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0246,Lima,Medio,42,Femenino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0191,Lima,Medio,49,Femenino,INTP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0293,Lima,Bajo,67,Femenino,ISFP,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0565,Sierra,Medio,27,Femenino,ISFJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0261,Lima,Medio,69,Masculino,ESFJ,Candidato B (Derecha Tradicional),True,True,False
PREDIK-PE-0517,Costa,Medio-Alto,18,Masculino,ENFJ,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0206,Lima,Bajo,43,Masculino,ESFJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0390,Costa,Medio,56,Femenino,INFP,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0882,Selva,Bajo,64,Femenino,ENFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0023,Lima,Bajo,49,Masculino,INFJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0570,Sierra,Bajo,31,Masculino,ENTP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0779,Sierra,Bajo,43,Femenino,INFP,Indeciso — Voto Volátil,True,False,True
