Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0855,Selva,Medio,63,Masculino,INTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0005,Lima,Alto,59,Femenino,INFP,Candidato B (Derecha Tradicional),False,True,False
PREDIK-PE-0609,Sierra,Medio,44,Masculino,ENTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0278,Lima,Medio,59,Femenino,ENTP,Candidato D (Centroderecha Tecnocrática),True,True,False
PREDIK-PE-0008,Lima,Medio-Alto,63,Femenino,INFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0733,Sierra,Medio,21,Femenino,INFJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0921,Selva,Bajo,29,No Binario,INTJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0551,Sierra,Medio,32,Masculino,ENTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0653,Sierra,Bajo,33,Femenino,ENFP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0809,Selva,Bajo,72,Femenino,ESTJ,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0131,Lima,Medio,27,Masculino,ENFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0800,Sierra,Bajo,44,Masculino,ENTJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0402,Costa,Medio,61,Masculino,ESFP,Indeciso — Voto Volátil,False,True,False
PREDIK-PE-0255,Lima,Medio-Alto,32,Masculino,INFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0812,Selva,Bajo,70,Masculino,ENFP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0745,Sierra,Medio,32,Femenino,ESTJ,Candidato D (Centroderecha Tecnocrática),True,True,False
PREDIK-PE-0619,Sierra,Medio,40,No Binario,ENTP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0754,Sierra,Bajo,30,Masculino,ENFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0188,Lima,Medio-Alto,61,Femenino,ESFJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0623,Sierra,Bajo,32,Masculino,ENTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0825,Selva,Bajo,41,Masculino,ESTJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0676,Sierra,Medio,40,Femenino,ISFJ,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0860,Selva,Bajo,21,Masculino,ESFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0867,Selva,Medio,72,Femenino,INTJ,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0735,Sierra,Medio,34,Masculino,ESFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0216,Lima,Medio,62,Masculino,ESFJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0762,Sierra,Medio,22,Masculino,INTP,Indeciso — Voto Volátil,True,False,False
PREDIK-PE-0254,Lima,Medio,20,Masculino,INTP,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0616,Sierra,Bajo,47,Masculino,INFJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0523,Costa,Bajo,47,Femenino,ENFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0741,Sierra,Bajo,40,Masculino,INFJ,Indeciso — Voto Volátil,True,True,True
