Agent_ID,Region,NSE,Age,Gender,MBTI,VotoIntención,VotoBronca,InseguridadFocus,Volátil
PREDIK-PE-0184,Lima,Alto,34,Femenino,ENTP,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0987,Selva,Bajo,26,Femenino,ENTJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0850,Selva,Medio,67,Femenino,ISTJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0350,Lima,Bajo,20,Masculino,ENFJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0250,Lima,Bajo,47,Femenino,ESFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0101,Lima,Medio-Alto,69,Masculino,ESFP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0305,Lima,Bajo,25,Masculino,INFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0280,Lima,Medio,41,Masculino,ESTJ,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0274,Lima,Medio-Alto,53,Femenino,INFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0883,Selva,Bajo,23,Femenino,ISTJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0254,Lima,Medio,63,Femenino,ESFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0568,Sierra,Medio,31,Femenino,INTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0917,Selva,Bajo,47,Masculino,INTP,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0503,Costa,Medio,46,No Binario,INFJ,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0794,Sierra,Medio,43,Masculino,ISFJ,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0260,Lima,Alto,47,Masculino,ESFJ,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0913,Selva,Medio,27,Femenino,ISTJ,Indeciso — Voto Volátil,False,False,True
PREDIK-PE-0492,Costa,Medio,31,Femenino,ISTP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0837,Selva,Bajo,30,Masculino,INFJ,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0006,Lima,Bajo,65,Femenino,ENTJ,Candidato B (Derecha Tradicional),True,False,False
PREDIK-PE-0536,Costa,Bajo,62,Femenino,ISFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0328,Lima,Medio,28,Masculino,INTP,Indeciso — Voto Volátil,True,False,True
PREDIK-PE-0870,Selva,Bajo,28,Femenino,ESTJ,Voto Blanco / Nulo,True,False,False
PREDIK-PE-0727,Sierra,Medio,60,Masculino,ISFP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0954,Selva,Bajo,19,Masculino,ISFP,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0576,Sierra,Medio,49,Masculino,INTP,Indeciso — Voto Volátil,False,True,True
PREDIK-PE-0230,Lima,Medio-Alto,70,Masculino,ENFP,Candidato C (Izquierda Social),False,True,False
PREDIK-PE-0290,Lima,Bajo,47,Masculino,ISFP,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0562,Sierra,Medio,63,Masculino,ENTP,Candidato C (Izquierda Social),True,True,False
PREDIK-PE-0203,Lima,Medio,41,Femenino,ESTP,Voto Blanco / Nulo,False,True,False
PREDIK-PE-0960,Selva,Bajo,20,Masculino,INTJ,Candidato B (Derecha Tradicional),False,False,False
PREDIK-PE-0267,Lima,Medio,22,Femenino,INTP,Candidato C (Izquierda Social),False,False,False
PREDIK-PE-0257,Lima,Medio,28,Masculino,INTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0665,Sierra,Bajo,34,Femenino,ENFJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0649,Sierra,Medio,18,Femenino,INTJ,Indeciso — Voto Volátil,True,True,True
PREDIK-PE-0414,Costa,Bajo,29,Femenino,ESFP,Candidato A (Populista / Anti-Sistema),True,False,False
PREDIK-PE-0823,Selva,Medio,30,Femenino,ENTJ,Candidato A (Populista / Anti-Sistema),False,False,False
PREDIK-PE-0127,Lima,Medio,19,Masculino,ISFJ,Voto Blanco / Nulo,True,True,False
PREDIK-PE-0366,Costa,Medio,49,Masculino,ENTP,Candidato A (Populista / Anti-Sistema),False,True,False
PREDIK-PE-0090,Lima,Medio,35,Masculino,ESTJ,Indeciso — Voto Volátil,True,True,False
PREDIK-PE-0122,Lima,Medio,64,Masculino,ENTJ,Candidato A (Populista / Anti-Sistema),True,True,False
PREDIK-PE-0326,Lima,Medio,37,Masculino,INTJ,Indeciso — Voto Volátil,True,True,True
